training steps,trained avg reward
0,-29.438705479999996
100000,-25.27214195
200000,-22.009203330000002
300000,-20.01079929
400000,-20.098603660000002
500000,-19.08548502
600000,-19.474611090000003
700000,-18.99975823
800000,-18.570544200000004
900000,-18.912733639999995
1000000,-18.21282598
1100000,-17.414547439999996
1200000,-18.25003795
1300000,-18.095091890000003
1400000,-17.607637160000003
1500000,-18.82150285
1600000,-18.49302765
1700000,-19.08425103
1800000,-18.53193769
1900000,-18.35270573
